Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,EquivDiameter,Compactness,ShapeFactor1,ShapeFactor3,Class
859.683,319.4557212,213.1670012,1.498617138,260.621392,0.815829471,0.00598826,0.665577726,SIRA
661.138,226.8735177,192.1947081,1.180435819,208.6952446,0.919874857,0.006632371,0.846169752,SEKER
769.104,265.4741881,218.1533583,1.216915431,240.5009897,0.905929844,0.005843845,0.820708881,SEKER
931.202,353.7848501,195.5619723,1.809067714,262.6652455,0.742443452,0.006528962,0.55122228,BARBUNYA
1007.548,412.7533854,193.5013473,2.133077579,282.0157942,0.683254951,0.006607755,0.466837328,HOROZ
751.568,271.1479575,197.1234861,1.375523348,230.5292722,0.85019734,0.006496273,0.722835517,SIRA
1020.876,374.4587697,225.5123262,1.660480276,289.8287524,0.773993764,0.005675854,0.599066346,BARBUNYA
577.757,209.024632,152.4886267,1.370755554,178.0087429,0.851616105,0.008398949,0.72524999,DERMASON
784.973,296.3863498,191.9265767,1.544269454,238.0906781,0.803311888,0.006657076,0.645309989,SIRA
689.725,235.9739477,192.7272628,1.224393188,213.1322764,0.903202572,0.006614176,0.815774885,SEKER
836.653,309.7136514,205.539636,1.506831759,252.1769662,0.81422619,0.00620097,0.662964288,SIRA
1116.981,364.8569284,270.7538285,1.347559628,313.9612382,0.860505074,0.004712818,0.740468982,BARBUNYA
770.034,293.1837407,180.8184311,1.621426195,230.0482595,0.784655585,0.007053621,0.615684387,SIRA
1091.403,379.4282692,262.7353851,1.444146053,315.4460602,0.831372056,0.004855004,0.691179495,BARBUNYA
1026.226,384.5543262,187.6346173,2.04948496,267.7803292,0.696339401,0.006828267,0.484888561,HOROZ
937.572,380.0172916,195.4643071,1.944177416,271.2291179,0.713728359,0.006577197,0.50940817,HOROZ
780.21,298.0698212,176.1619425,1.692021653,228.0721999,0.765163675,0.007295976,0.58547545,SIRA
648.563,243.795684,160.3418775,1.520474176,197.1017123,0.808470884,0.007990157,0.653625171,DERMASON
1595.676,598.5416463,368.3583724,1.624889486,467.854361,0.781657156,0.003481634,0.610987909,BOMBAY
953.693,400.1437694,186.4777129,2.145799426,272.6524602,0.681386244,0.00685342,0.464287214,HOROZ
1511.124,564.0080169,362.6188926,1.555374054,450.0068923,0.79787322,0.00354615,0.636601675,BOMBAY
754.945,290.022778,182.1905646,1.591864972,229.7103969,0.792042606,0.006998113,0.62733149,DERMASON
826.19,343.4056346,163.9725577,2.094287236,237.1502982,0.690583596,0.007774459,0.476905704,HOROZ
777.58,278.065298,208.3350827,1.334702223,240.5698033,0.865155793,0.00611751,0.748494546,SEKER
722.895,262.025258,185.8117141,1.410165442,220.2623881,0.840615099,0.006876581,0.706633744,SIRA
831.069,316.266048,195.6102923,1.61681701,248.3357215,0.785211448,0.006529566,0.616557018,SIRA
738.016,248.3602737,215.6622865,1.151616621,231.2709381,0.931191348,0.005912214,0.867117327,SEKER
642.61,233.1968649,168.5745158,1.383345897,197.9461385,0.848837048,0.007577724,0.720524335,DERMASON
926.529,376.8679851,173.5416044,2.171629025,255.043647,0.676745325,0.00737684,0.457984235,HOROZ
1569.123,587.8046796,382.0314188,1.538629156,473.3345503,0.80525822,0.003340464,0.648440802,BOMBAY
594.314,214.3770492,153.0590422,1.400616691,180.9844207,0.844234126,0.008333089,0.712731259,DERMASON
909.777,361.5588773,184.5522277,1.959114131,257.6883039,0.712714637,0.006932657,0.507962154,HOROZ
771.243,287.8738128,187.2325252,1.537520324,231.5845334,0.80446544,0.006834286,0.647164643,SIRA
690.918,236.9183865,194.403861,1.218691776,214.4187649,0.905032184,0.0065612,0.819083255,SEKER
970.091,391.9072583,199.3084753,1.966335138,277.5812751,0.708283068,0.006476093,0.501664904,HOROZ
832.071,320.0435313,196.42132,1.629372674,250.2815197,0.782023366,0.006505214,0.611560545,SIRA
776.166,279.2656766,197.1586268,1.416451723,233.5853895,0.836427134,0.006516829,0.699610351,SIRA
894.486,310.0875693,201.7558508,1.53694462,249.5606386,0.804806975,0.006339315,0.647714267,BARBUNYA
678.636,247.4457385,172.5911904,1.433710132,206.508802,0.834561966,0.007387763,0.696493675,DERMASON
876.799,354.3159469,183.8984841,1.926693135,254.5939488,0.718550635,0.006959927,0.516315016,HOROZ
805.392,297.6787127,201.9763607,1.47382947,244.9232694,0.822777239,0.006318264,0.676962386,SIRA
537.215,193.9609965,140.0814439,1.384630191,164.7356296,0.849323486,0.009100169,0.721350383,DERMASON
654.338,222.253649,190.3614532,1.167534946,205.5106541,0.924667176,0.00670024,0.855009387,SEKER
1009.144,340.0882559,251.1517016,1.354114879,292.0410089,0.85872124,0.005077081,0.737402169,BARBUNYA
855.614,354.0188628,170.8794345,2.071746455,245.5903713,0.693721146,0.007473325,0.481249029,HOROZ
708.98,259.3345012,171.5530255,1.511687133,210.5780464,0.811993951,0.007446363,0.659334177,DERMASON
898.497,311.4197591,228.7198652,1.361577224,266.084632,0.854424371,0.00560037,0.730041006,BARBUNYA
590.252,221.4381682,146.3057798,1.513529873,179.9154494,0.812486171,0.008710151,0.660133778,DERMASON
781.572,296.0573014,186.3717086,1.588531348,234.0428133,0.790532144,0.006881693,0.624941071,SIRA
998.333,379.1073004,238.9717847,1.586410299,299.4884968,0.78998346,0.005381607,0.624073867,CALI
1139.537,393.3455569,269.348653,1.460358359,325.3021442,0.827013649,0.004732717,0.683951575,BARBUNYA
589.499,215.3682905,149.3171927,1.44235427,179.2383335,0.832241056,0.008535522,0.692625175,DERMASON
899.337,349.4782173,196.1545287,1.781647458,260.9289907,0.746624475,0.006535601,0.557448107,HOROZ
860.079,346.142513,175.0021106,1.977933362,245.5618554,0.709424142,0.007308752,0.503282614,HOROZ
766.818,299.5296828,172.7269021,1.734122937,227.1211723,0.758259316,0.007393239,0.57495719,SIRA
1626.402,606.628063,386.8273814,1.568213865,482.8263124,0.795918194,0.003313224,0.633485772,BOMBAY
738.726,276.1258064,185.5911693,1.487817591,226.0338099,0.818589949,0.006881297,0.670089505,DERMASON
915.191,380.0157284,177.6421699,2.139220258,259.4192541,0.682653992,0.007189642,0.466016473,HOROZ
695.948,262.8627317,173.1266239,1.518326446,213.0934422,0.810664338,0.007370534,0.657176668,DERMASON
802.578,302.9331091,195.8905496,1.546440651,243.1545835,0.802667573,0.006523669,0.644275233,SIRA
748.177,288.9841472,173.4647345,1.665953302,223.336426,0.772832794,0.007376749,0.597270528,SIRA
751.298,256.843828,210.183669,1.221997071,232.1062507,0.903686308,0.006070236,0.816648944,SEKER
832.029,315.6983928,193.8525724,1.628548896,247.1356464,0.782821997,0.0065813,0.61281028,SIRA
763.577,261.8395724,214.330122,1.221664831,236.6047259,0.90362478,0.00595523,0.816537742,SEKER
1030.435,390.322355,227.4152121,1.71634233,296.1409573,0.758708676,0.005666783,0.575638856,CALI
738.189,260.3770597,202.7837232,1.284013606,229.6882246,0.882136948,0.006283988,0.778165594,SEKER
932.592,374.0643532,191.5440162,1.952889788,267.1877019,0.714282715,0.0066715,0.510199797,HOROZ
961.549,352.1611742,232.98368,1.51152722,286.116998,0.81246037,0.005477272,0.660091853,CALI
782.142,297.9735621,182.2210678,1.635231127,232.4515859,0.780108088,0.007021386,0.60856863,SIRA
634.725,231.4203017,165.4694413,1.398568219,195.4963719,0.844767596,0.007709641,0.713632291,DERMASON
725.482,266.9757992,178.4850517,1.495788004,217.6602174,0.815280703,0.007175033,0.664682625,SIRA
649.708,236.9705356,167.1148355,1.418010166,198.6940829,0.838475899,0.007642485,0.703041833,DERMASON
776.928,292.4523473,190.4809568,1.535336405,235.8177482,0.80634589,0.006695951,0.650193694,SIRA
736.091,268.6974505,191.7105261,1.401579016,226.6975248,0.843690643,0.006657024,0.711813901,SEKER
871.948,339.2358007,196.0556099,1.730303973,257.0526005,0.757740191,0.006536839,0.574170197,SIRA
786.271,297.269179,188.8597632,1.574020712,236.6262501,0.795999945,0.006759805,0.633615912,SIRA
888.678,356.2785067,169.2101943,2.105538075,244.9440626,0.687507268,0.007560768,0.472666243,HOROZ
791.616,302.3649058,188.0131684,1.608211321,237.9622985,0.787003696,0.006798689,0.619374818,SIRA
1004.942,371.617998,221.6379579,1.676689325,286.6394038,0.771328099,0.005758841,0.594947036,BARBUNYA
1101.021,425.879125,244.7647649,1.739952747,321.0491565,0.753850418,0.00526082,0.568290453,CALI
575.308,209.8796546,149.6176681,1.402773197,176.9433819,0.843070674,0.008535163,0.710768162,DERMASON
693.745,243.5262185,189.1972144,1.287155412,214.3207638,0.880072647,0.006750366,0.774527865,SEKER
655.459,236.9834375,160.9338924,1.472551455,194.4187809,0.820389741,0.007982734,0.673039327,DERMASON
1088.405,388.6458643,259.1222372,1.499855313,316.8475842,0.815260404,0.004929052,0.664649526,BARBUNYA
792.738,288.9321891,203.5215767,1.419663672,242.1760375,0.838176038,0.006272544,0.702539071,SIRA
760.258,286.5936294,183.3447328,1.563140785,228.1894047,0.796212411,0.007007865,0.633954204,SIRA
1037.359,341.6177344,250.189667,1.365435026,291.9232707,0.854531956,0.005104029,0.730224863,BARBUNYA
728.679,241.6146519,215.182691,1.122834977,227.7873085,0.942771089,0.005928903,0.888817327,SEKER
760.277,289.6124266,180.965432,1.6003743,228.5907936,0.789298982,0.007056833,0.622992884,SIRA
754.79,265.286554,208.1735397,1.2743529,234.8791098,0.885378872,0.00612261,0.783895746,SEKER
853.234,350.9656259,174.0789619,2.0161289,246.6199096,0.702689641,0.007347142,0.493772731,HOROZ
676.892,246.6615423,177.9715268,1.385960702,209.4199993,0.849017635,0.007161026,0.720830945,DERMASON
631.176,226.4472203,167.565085,1.351398594,194.4678918,0.858778004,0.007623972,0.73749966,DERMASON
668.164,256.5755796,153.9429864,1.666692232,198.3766313,0.773170352,0.008301268,0.597792394,DERMASON
976.082,401.9377152,193.0369915,2.082179753,276.3008684,0.6874221,0.006703543,0.472549144,HOROZ
951.625,389.022583,196.4443315,1.980319718,275.65728,0.708589403,0.006518475,0.502098943,HOROZ
909.858,377.6142924,174.9837576,2.157996249,256.0376622,0.678040178,0.007334168,0.459738483,HOROZ
869.301,359.0541561,174.4456672,2.058257805,249.1265976,0.693841286,0.007365969,0.481415731,HOROZ
982.932,417.4746289,187.2771103,2.229181283,278.8626516,0.667975087,0.00683533,0.446190717,HOROZ
1627.014,608.6434692,385.1108888,1.580436926,482.9054176,0.793412633,0.003323142,0.629503607,BOMBAY
846.716,353.8563544,161.5875876,2.189873367,238.2831179,0.673389399,0.007935066,0.453453283,HOROZ
1162.062,460.8147614,244.0358622,1.888307552,333.2293012,0.7231307,0.005283846,0.52291801,CALI
795.882,295.5580608,191.0130729,1.547318497,237.2254511,0.8026357,0.006686985,0.644224067,SIRA
799.527,307.1641886,186.6307029,1.645839531,238.9794129,0.778018473,0.006847936,0.605312744,SIRA
990.706,348.3721294,227.4652059,1.531540298,281.0389095,0.806720417,0.005615916,0.650797831,BARBUNYA
662.129,226.5248185,192.2363364,1.17836629,208.524348,0.920536431,0.006633036,0.847387321,SEKER
740.413,241.9091235,219.223754,1.103480435,230.053794,0.950992632,0.00581974,0.904386986,SEKER
806.225,304.9538862,195.295901,1.561496604,243.5339221,0.798592617,0.006546744,0.637750168,SIRA
1078.159,420.1419992,242.0722468,1.735605815,317.7925226,0.756393132,0.005296865,0.57213057,CALI
782.625,269.7175291,206.8390513,1.303997129,236.0255279,0.875084125,0.006164549,0.765772225,SEKER
879.491,337.8024171,201.9261228,1.672901022,260.3378847,0.770680941,0.006345972,0.593949113,SIRA
1022.788,396.5943804,202.2522362,1.960889965,282.3699821,0.711986846,0.006333148,0.506925269,HOROZ
1044.596,435.2872634,196.8079638,2.211736024,292.0497284,0.670935616,0.006497892,0.450154601,HOROZ
737.07,256.077799,199.9792023,1.280522155,226.1492561,0.883127147,0.006375169,0.779913558,SEKER
675.258,243.6372084,171.8054585,1.418099346,203.5497188,0.835462367,0.007487084,0.697997367,DERMASON
679.09,237.9018822,190.0844881,1.251558634,212.5460239,0.893418841,0.00670505,0.798197226,SEKER
960.54,371.7750098,222.1086683,1.673842865,286.1570458,0.769704897,0.005780713,0.592445629,CALI
613.754,225.2435172,150.5530474,1.496107326,183.9292655,0.816579619,0.008477362,0.666802275,DERMASON
1518.137,572.2055991,363.5925914,1.573754836,455.3761431,0.795826087,0.003513352,0.633339161,BOMBAY
684.781,253.5804923,170.9913232,1.483002106,208.0261177,0.820355366,0.007460883,0.672982927,DERMASON
620.793,228.7840665,157.2775671,1.454651612,189.4266002,0.827971122,0.008118092,0.685536178,DERMASON
888.581,332.9882035,200.1934012,1.663332565,257.7648781,0.774096125,0.00638104,0.599224811,BARBUNYA
865.331,320.3232941,210.4183111,1.522316629,257.3941461,0.80354489,0.006156038,0.64568439,SIRA
987.264,377.8736513,227.1094143,1.663839663,291.3928598,0.771138339,0.005666292,0.594654338,CALI
822.009,292.0031631,218.0170791,1.339359119,252.005242,0.863022302,0.005854348,0.744807494,SEKER
718.184,247.7468033,198.8496914,1.245899863,221.8090378,0.895305347,0.006411501,0.801571665,SEKER
770.263,276.4757779,201.4840559,1.372196806,235.8852292,0.853185878,0.006326532,0.727926142,SEKER
768.191,287.8539186,188.0462679,1.530761136,231.8455388,0.805427767,0.006818436,0.648713887,SIRA
910.43,358.0308728,169.345799,2.114199909,245.2116178,0.68488959,0.007581384,0.469073751,HOROZ
657.065,233.0480921,168.5126085,1.382971246,197.6725787,0.848205093,0.007593864,0.71945188,DERMASON
662.146,220.4383774,196.882203,1.119646032,208.2463418,0.944691865,0.00647206,0.892442719,SEKER
735.508,271.4475381,181.487496,1.495681764,221.6482525,0.816541767,0.007035053,0.666740458,DERMASON
671.793,238.166285,178.9587248,1.330844781,205.3898065,0.862379856,0.007188407,0.743699015,DERMASON
856.122,344.9607446,177.8505249,1.939610494,247.0351622,0.716125432,0.007197178,0.512835634,HOROZ
845.771,325.1109276,196.8934945,1.651201978,252.7720452,0.777494768,0.006478636,0.604498114,SIRA
721.177,254.0607593,194.6134395,1.305463589,222.2477332,0.874781819,0.00654897,0.765243231,SEKER
691.978,240.5905134,196.4977874,1.22439299,217.3236013,0.903292479,0.006485968,0.815937302,SEKER
1086.756,418.75391,246.002039,1.702237557,319.3432657,0.762603663,0.005228215,0.581564347,CALI
1062.433,423.1975311,227.1826895,1.862807118,308.8730578,0.729855529,0.005647981,0.532689093,CALI
893.296,368.7324594,172.6008631,2.136330334,251.8157045,0.682922531,0.00740382,0.466383184,HOROZ
663.914,225.0778556,184.2147342,1.221823306,203.4996712,0.904130132,0.006920149,0.817451295,SEKER
983.302,420.3521618,177.8126939,2.364016609,272.7084924,0.64876196,0.007196579,0.420892081,HOROZ
615.426,228.0066779,156.5950636,1.456027238,188.8072053,0.828077524,0.008143677,0.685712386,DERMASON
757.206,279.0875951,186.9260425,1.493037521,227.3228985,0.814521686,0.00687645,0.663445577,SIRA
879.739,332.0462682,213.2773951,1.556875111,265.6536246,0.800050023,0.005990695,0.64008004,SIRA
581.851,213.8447872,148.503575,1.43999757,178.0480783,0.832604248,0.008588834,0.693229834,DERMASON
689.937,265.4699791,161.0284951,1.648590077,206.4101297,0.777527201,0.007933476,0.604548548,SIRA
636.593,237.3015274,156.4313802,1.516968828,192.4242168,0.810884864,0.00816002,0.657534263,DERMASON
729.743,268.5252537,184.3366137,1.456711438,222.1187951,0.827180282,0.006929863,0.684227219,SIRA
681.518,263.1933205,160.1062358,1.643866769,204.7160952,0.777816454,0.007996151,0.604998435,DERMASON
830.105,315.8798111,196.0722153,1.61103811,248.7634651,0.787525687,0.006499183,0.620196707,SIRA
1134.539,428.9230129,231.9317687,1.849349984,314.1112523,0.732325482,0.005535062,0.536300612,BARBUNYA
698.492,247.9682578,185.621902,1.335878229,214.4039191,0.8646426,0.006868166,0.747606826,SEKER
753.771,273.8009306,186.2738571,1.46988383,225.0402251,0.821911834,0.006883744,0.675539063,SIRA
827.02,328.3212445,175.833589,1.867227111,239.8489298,0.730531252,0.007266638,0.53367591,SIRA
783.733,297.353506,188.7109576,1.575708744,236.3597502,0.794877966,0.006776979,0.631830982,SIRA
948.593,371.0183606,197.9117962,1.874665218,269.7133073,0.72695407,0.006493828,0.52846222,HOROZ
723.825,254.5019092,198.2914786,1.283473758,224.3602581,0.88156611,0.006437382,0.777158806,SEKER
768.085,276.3812498,198.9676667,1.389076197,233.7216211,0.845649339,0.006442003,0.715122804,SIRA
657.309,238.3352028,171.0704497,1.393199137,201.7464957,0.846482153,0.007455664,0.716532036,DERMASON
718.286,272.9152915,174.9021975,1.560388008,218.2210627,0.799592656,0.007297005,0.639348415,DERMASON
769.399,282.2864284,192.9870768,1.462721924,232.6350078,0.824109785,0.006641252,0.679156938,SIRA
802.097,301.8021811,191.1676981,1.578730006,239.3919629,0.793208194,0.006705225,0.629179239,SIRA
909.106,364.0186631,189.9490931,1.916401164,259.6767982,0.713361222,0.006873334,0.508884232,HOROZ
1033.42,379.3587849,225.0951627,1.685326243,291.6876516,0.768896525,0.005677069,0.591201867,BARBUNYA
826.904,304.1505097,206.8839091,1.470150632,249.6371557,0.820768494,0.006214128,0.67366092,SIRA
1011.524,393.3314773,220.0732498,1.787275271,293.0898367,0.745147169,0.005829983,0.555244303,CALI
840.624,316.4206349,198.3692493,1.595109302,250.1186754,0.790462593,0.006439953,0.62483111,SIRA
1129.375,407.5307588,243.1571516,1.67599742,314.2206768,0.771035486,0.005255342,0.594495721,BARBUNYA
739.414,271.152412,189.7138297,1.429270668,226.6610148,0.835917383,0.00672001,0.698757872,DERMASON
722.078,250.7483056,194.0435644,1.292226858,220.2970687,0.878558554,0.006578558,0.771865132,SEKER
1018.064,372.3035743,240.1702667,1.550165137,298.5986363,0.802030002,0.005316572,0.643252123,BARBUNYA
1070.292,380.7410438,253.5632975,1.501562125,309.9306551,0.814019555,0.005046738,0.662627836,BARBUNYA
1538.645,571.3442984,370.2837764,1.542990363,458.9008618,0.803194962,0.003454381,0.645122146,BOMBAY
758.673,286.042907,179.1858678,1.596347471,226.1267346,0.790534319,0.007122582,0.624944509,SIRA
976.479,391.6625718,195.9880485,1.998400284,276.5357848,0.706056194,0.00652108,0.498515349,HOROZ
725.947,267.0618,184.7522549,1.445513075,221.8893868,0.830854082,0.006906354,0.690318506,DERMASON
638.042,241.4535623,146.9270692,1.643356556,187.450238,0.776340743,0.008749268,0.602704949,DERMASON
600.994,215.5748405,161.6778719,1.333360205,186.1586257,0.863545232,0.007920304,0.745710368,DERMASON
1015.361,411.7117855,201.433152,2.043912739,285.6270712,0.693754907,0.006425467,0.48129587,HOROZ
922.249,383.0831119,174.7655391,2.191983121,257.9821263,0.673436438,0.007328648,0.453516636,HOROZ
988.425,384.5531182,228.0544213,1.686233996,295.6611814,0.768843542,0.005601158,0.591120392,CALI
1054.205,397.2609845,248.0322879,1.601650285,313.1897636,0.788372822,0.005156689,0.621531707,CALI
883.82,302.1162231,178.1516905,1.695836971,231.6202673,0.766659483,0.007170196,0.587766762,SIRA
899.867,366.8201927,178.4143389,2.056001749,254.3838175,0.693483681,0.00721746,0.480919616,HOROZ
997.796,346.2438026,237.3979323,1.458495443,286.1592705,0.826467559,0.005383646,0.683048627,BARBUNYA
985.501,342.4453022,226.7417755,1.510287645,278.0853772,0.812057795,0.005638259,0.659437863,BARBUNYA
671.582,232.4361441,186.7914403,1.24436186,208.2249414,0.895837186,0.006825717,0.802524265,SEKER
686.517,249.46266,180.2449068,1.384020578,211.9461356,0.849610661,0.007070737,0.721838276,DERMASON
688.874,257.4648986,165.036857,1.560044849,205.9655193,0.799975144,0.007727502,0.639960231,SIRA
711.099,249.1619299,200.2064042,1.244525273,223.239488,0.895961466,0.006365753,0.802746949,SEKER
816.055,300.8069239,198.6055353,1.514594865,243.3430187,0.808967478,0.006467853,0.654428381,SIRA
910.397,378.8176307,174.850002,2.166529176,255.9531096,0.675663139,0.007362401,0.456520678,HOROZ
610.943,215.446569,165.7403773,1.299903937,188.9015921,0.876790904,0.007687382,0.76876229,DERMASON
664.992,237.1469249,179.4741259,1.32134325,206.1385373,0.869243982,0.007105739,0.755585101,DERMASON
814.313,313.4086044,193.5454778,1.619302129,245.8986498,0.784594444,0.006599465,0.615588442,SIRA
813.758,256.8397138,221.4744633,1.15968094,238.2483833,0.927615048,0.005761192,0.860469676,SEKER
1040.987,390.9669663,236.0461934,1.656315489,302.7128178,0.774266994,0.00543236,0.599489378,CALI
813.969,299.1175177,194.354903,1.539027383,239.7799093,0.801624429,0.006624092,0.642601725,SIRA
969.404,395.6012989,199.799678,1.979989672,280.2926558,0.708523093,0.006411275,0.502004973,HOROZ
680.157,244.0174548,178.7571063,1.365078345,208.4571717,0.85427156,0.007149857,0.729779898,DERMASON
883.529,323.1037414,209.2399353,1.544178175,259.3775324,0.802768582,0.006114872,0.644437396,BARBUNYA
1021.462,393.3877979,223.1710944,1.762718415,295.2302259,0.750481402,0.005746579,0.563222334,CALI
606.793,216.9853438,158.1495565,1.372026255,184.9268529,0.85225504,0.008078683,0.726338653,DERMASON
736.602,260.1405927,202.4149228,1.285184853,229.1915589,0.881029587,0.006305521,0.776213133,SEKER
721.252,242.0461419,208.4598355,1.161116439,224.4850729,0.927447433,0.006115519,0.860158741,SEKER
692.507,253.1412461,177.9248772,1.422742283,211.9130924,0.837133797,0.00717724,0.700792994,DERMASON
1066.901,416.0072452,243.9472819,1.705316173,317.5279827,0.763275127,0.005253479,0.582588919,CALI
980.172,372.0655423,229.5447672,1.620884444,291.5675872,0.783645767,0.005572513,0.614100688,CALI
848.686,331.7712245,195.2330265,1.699360146,253.7147447,0.764727999,0.00656232,0.584808913,SIRA
591.741,210.3156324,157.5757339,1.33469556,181.7986581,0.86440868,0.008102151,0.747202366,DERMASON
873.211,357.1308499,162.8601044,2.19286885,239.8967016,0.671733348,0.007901125,0.451225691,HOROZ
961.532,382.2654478,201.8737626,1.893586581,275.0353334,0.719487819,0.006434254,0.517662722,HOROZ
977.298,398.8609764,196.5820304,2.028979839,279.0954118,0.699731055,0.00651968,0.489623549,HOROZ
629.269,239.2903654,151.5077212,1.579393866,189.9300471,0.793722082,0.00844594,0.629994744,DERMASON
947.305,361.6383842,220.6904303,1.638668173,281.9458064,0.779634626,0.005792331,0.60783015,BARBUNYA
721.516,276.4940779,173.7695975,1.591153355,219.0073215,0.792086844,0.007339706,0.627401568,DERMASON
620.189,230.3036902,154.9381159,1.486423717,188.7566216,0.819598771,0.008230129,0.671742146,DERMASON
705.779,235.1825325,208.4739731,1.128114599,221.245778,0.940740691,0.006117376,0.884993047,SEKER
965.459,384.1332599,197.1741672,1.948192633,275.0029259,0.715905012,0.006467217,0.512519986,CALI
671.659,247.3729375,171.9769022,1.438407916,205.8232886,0.832036401,0.007434868,0.692284573,DERMASON
1055.572,389.0487083,229.1127995,1.698066233,298.1655211,0.766396379,0.005571848,0.587363409,BARBUNYA
870.581,355.0814366,174.0811234,2.039746928,246.2711767,0.693562522,0.007454369,0.481028972,HOROZ
720.442,235.3134449,211.1422148,1.114478434,222.80846,0.946858179,0.006035226,0.896540412,SEKER
677.413,234.4297046,192.6140462,1.217095582,212.4171909,0.906101858,0.006615207,0.821020577,SEKER
795.294,287.4158579,204.4561343,1.405758056,241.2383881,0.839335692,0.006288224,0.704484404,SIRA
968.674,399.078284,187.5970456,2.127316466,272.7505089,0.683451142,0.006830257,0.467105463,HOROZ
616.386,234.9459604,149.6236118,1.570246551,186.8822108,0.795426363,0.008565292,0.632703099,DERMASON
882.113,355.7001407,184.5363073,1.927534727,255.3405126,0.71785328,0.006946319,0.515313331,HOROZ
