Perimeter,MajorAxisLength,MinorAxisLength,roundness,Compactness,ShapeFactor1,ShapeFactor3,ShapeFactor4,Class
973.845,393.0484951,189.0698965,0.759992038,0.687540601,0.006852788,0.472712078,0.982698856,HOROZ
859.683,319.4557212,213.1670012,0.90707498,0.815829471,0.00598826,0.665577726,0.997446186,SIRA
661.138,226.8735177,192.1947081,0.983423569,0.919874857,0.006632371,0.846169752,0.998849085,SEKER
769.104,265.4741881,218.1533583,0.965080057,0.905929844,0.005843845,0.820708881,0.998733303,SEKER
931.202,353.7848501,195.5619723,0.785266682,0.742443452,0.006528962,0.55122228,0.99719843,BARBUNYA
1007.548,412.7533854,193.5013473,0.773241434,0.683254951,0.006607755,0.466837328,0.995800238,HOROZ
751.568,271.1479575,197.1234861,0.928571484,0.85019734,0.006496273,0.722835517,0.99427713,SIRA
1020.876,374.4587697,225.5123262,0.795493604,0.773993764,0.005675854,0.599066346,0.994737852,BARBUNYA
577.757,209.024632,152.4886267,0.936897284,0.851616105,0.008398949,0.72524999,0.994140452,DERMASON
784.973,296.3863498,191.9265767,0.90797751,0.803311888,0.006657076,0.645309989,0.996532504,SIRA
689.725,235.9739477,192.7272628,0.942423825,0.903202572,0.006614176,0.815774885,0.998829212,SEKER
836.653,309.7136514,205.539636,0.896643556,0.81422619,0.00620097,0.662964288,0.998975644,SIRA
1116.981,364.8569284,270.7538285,0.77975872,0.860505074,0.004712818,0.740468982,0.997826106,BARBUNYA
770.034,293.1837407,180.8184311,0.880882224,0.784655585,0.007053621,0.615684387,0.998286792,SIRA
1091.403,379.4282692,262.7353851,0.824479144,0.831372056,0.004855004,0.691179495,0.998164139,BARBUNYA
1026.226,384.5543262,187.6346173,0.672002766,0.696339401,0.006828267,0.484888561,0.993771814,HOROZ
937.572,380.0172916,195.4643071,0.825967788,0.713728359,0.006577197,0.50940817,0.990379861,HOROZ
780.21,298.0698212,176.1619425,0.843376361,0.765163675,0.007295976,0.58547545,0.990637139,SIRA
648.563,243.795684,160.3418775,0.911540988,0.808470884,0.007990157,0.653625171,0.993820193,DERMASON
1595.676,598.5416463,368.3583724,0.848460607,0.781657156,0.003481634,0.610987909,0.99278783,BOMBAY
953.693,400.1437694,186.4777129,0.806680199,0.681386244,0.00685342,0.464287214,0.996267237,HOROZ
1511.124,564.0080169,362.6188926,0.875261589,0.79787322,0.00354615,0.636601675,0.990153727,BOMBAY
754.945,290.022778,182.1905646,0.913756383,0.792042606,0.006998113,0.62733149,0.998627024,DERMASON
826.19,343.4056346,163.9725577,0.813181009,0.690583596,0.007774459,0.476905704,0.998777528,HOROZ
777.58,278.065298,208.3350827,0.944695417,0.865155793,0.00611751,0.748494546,0.999017334,SEKER
722.895,262.025258,185.8117141,0.916283763,0.840615099,0.006876581,0.706633744,0.996470486,SIRA
831.069,316.266048,195.6102923,0.881259819,0.785211448,0.006529566,0.616557018,0.996859875,SIRA
738.016,248.3602737,215.6622865,0.969193102,0.931191348,0.005912214,0.867117327,0.998586726,SEKER
642.61,233.1968649,168.5745158,0.93648075,0.848837048,0.007577724,0.720524335,0.996734383,DERMASON
926.529,376.8679851,173.5416044,0.747843513,0.676745325,0.00737684,0.457984235,0.994571857,HOROZ
1569.123,587.8046796,382.0314188,0.898094799,0.80525822,0.003340464,0.648440802,0.997709923,BOMBAY
594.314,214.3770492,153.0590422,0.915272065,0.844234126,0.008333089,0.712731259,0.998263298,DERMASON
909.777,361.5588773,184.5522277,0.791806847,0.712714637,0.006932657,0.507962154,0.995155833,HOROZ
771.243,287.8738128,187.2325252,0.889890104,0.80446544,0.006834286,0.647164643,0.995028792,SIRA
690.918,236.9183865,194.403861,0.950544188,0.905032184,0.0065612,0.819083255,0.998210026,SEKER
970.091,391.9072583,199.3084753,0.808081431,0.708283068,0.006476093,0.501664904,0.986441328,HOROZ
832.071,320.0435313,196.42132,0.892969325,0.782023366,0.006505214,0.611560545,0.996460041,SIRA
776.166,279.2656766,197.1586268,0.893885445,0.836427134,0.006516829,0.699610351,0.990964287,SIRA
894.486,310.0875693,201.7558508,0.768253994,0.804806975,0.006339315,0.647714267,0.995500957,BARBUNYA
678.636,247.4457385,172.5911904,0.913909289,0.834561966,0.007387763,0.696493675,0.998570039,DERMASON
876.799,354.3159469,183.8984841,0.832138868,0.718550635,0.006959927,0.516315016,0.994780596,HOROZ
805.392,297.6787127,201.9763607,0.912736081,0.822777239,0.006318264,0.676962386,0.997727114,SIRA
537.215,193.9609965,140.0814439,0.928065363,0.849323486,0.009100169,0.721350383,0.998803519,DERMASON
654.338,222.253649,190.3614532,0.973563187,0.924667176,0.00670024,0.855009387,0.998253339,SEKER
1009.144,340.0882559,251.1517016,0.826572859,0.85872124,0.005077081,0.737402169,0.998527248,BARBUNYA
855.614,354.0188628,170.8794345,0.813142485,0.693721146,0.007473325,0.481249029,0.997025969,HOROZ
708.98,259.3345012,171.5530255,0.870678783,0.811993951,0.007446363,0.659334177,0.996706992,DERMASON
898.497,311.4197591,228.7198652,0.865577715,0.854424371,0.00560037,0.730041006,0.994007207,BARBUNYA
590.252,221.4381682,146.3057798,0.916983934,0.812486171,0.008710151,0.660133778,0.999132193,DERMASON
781.572,296.0573014,186.3717086,0.885018564,0.790532144,0.006881693,0.624941071,0.992738482,SIRA
998.333,379.1073004,238.9717847,0.888196758,0.78998346,0.005381607,0.624073867,0.990037209,CALI
1139.537,393.3455569,269.348653,0.804297531,0.827013649,0.004732717,0.683951575,0.9988144,BARBUNYA
589.499,215.3682905,149.3171927,0.912421257,0.832241056,0.008535522,0.692625175,0.999010879,DERMASON
899.337,349.4782173,196.1545287,0.830805746,0.746624475,0.006535601,0.557448107,0.993176003,HOROZ
860.079,346.142513,175.0021106,0.804534866,0.709424142,0.007308752,0.503282614,0.995459472,HOROZ
766.818,299.5296828,172.7269021,0.865825536,0.758259316,0.007393239,0.57495719,0.997046451,SIRA
1626.402,606.628063,386.8273814,0.869812822,0.795918194,0.003313224,0.633485772,0.993441171,BOMBAY
738.726,276.1258064,185.5911693,0.924016628,0.818589949,0.006881297,0.670089505,0.996970953,DERMASON
915.191,380.0157284,177.6421699,0.793013675,0.682653992,0.007189642,0.466016473,0.996911879,HOROZ
695.948,262.8627317,173.1266239,0.925308034,0.810664338,0.007370534,0.657176668,0.997808715,DERMASON
802.578,302.9331091,195.8905496,0.905920662,0.802667573,0.006523669,0.644275233,0.996333411,SIRA
748.177,288.9841472,173.4647345,0.879447994,0.772832794,0.007376749,0.597270528,0.995024808,SIRA
751.298,256.843828,210.183669,0.94199577,0.903686308,0.006070236,0.816648944,0.997942617,SEKER
832.029,315.6983928,193.8525724,0.870750237,0.782821997,0.0065813,0.61281028,0.997991504,SIRA
763.577,261.8395724,214.330122,0.947634576,0.90362478,0.00595523,0.816537742,0.997535443,SEKER
1030.435,390.322355,227.4152121,0.815183713,0.758708676,0.005666783,0.575638856,0.987993335,CALI
738.189,260.3770597,202.7837232,0.955525031,0.882136948,0.006283988,0.778165594,0.999175211,SEKER
932.592,374.0643532,191.5440162,0.810119905,0.714282715,0.0066715,0.510199797,0.996363974,HOROZ
961.549,352.1611742,232.98368,0.873864755,0.81246037,0.005477272,0.660091853,0.997746804,CALI
782.142,297.9735621,182.2210678,0.871753214,0.780108088,0.007021386,0.60856863,0.995150366,SIRA
634.725,231.4203017,165.4694413,0.936280419,0.844767596,0.007709641,0.713632291,0.998063441,DERMASON
725.482,266.9757992,178.4850517,0.888391878,0.815280703,0.007175033,0.664682625,0.994224297,SIRA
649.708,236.9705356,167.1148355,0.923066914,0.838475899,0.007642485,0.703041833,0.996920466,DERMASON
776.928,292.4523473,190.4809568,0.909266466,0.80634589,0.006695951,0.650193694,0.998266048,SIRA
736.091,268.6974505,191.7105261,0.936117333,0.843690643,0.006657024,0.711813901,0.997663427,SEKER
871.948,339.2358007,196.0556099,0.857753655,0.757740191,0.006536839,0.574170197,0.993488973,SIRA
786.271,297.269179,188.8597632,0.893883812,0.795999945,0.006759805,0.633615912,0.997324569,SIRA
888.678,356.2785067,169.2101943,0.749798765,0.687507268,0.007560768,0.472666243,0.995216771,HOROZ
791.616,302.3649058,188.0131684,0.891839962,0.787003696,0.006798689,0.619374818,0.996085594,SIRA
1004.942,371.617998,221.6379579,0.802951908,0.771328099,0.005758841,0.594947036,0.997541344,BARBUNYA
1101.021,425.879125,244.7647649,0.839173202,0.753850418,0.00526082,0.568290453,0.988798535,CALI
575.308,209.8796546,149.6176681,0.933614453,0.843070674,0.008535163,0.710768162,0.997046527,DERMASON
693.745,243.5262185,189.1972144,0.941951431,0.880072647,0.006750366,0.774527865,0.996937733,SEKER
655.459,236.9834375,160.9338924,0.868330617,0.820389741,0.007982734,0.673039327,0.99108504,DERMASON
1088.405,388.6458643,259.1222372,0.836410526,0.815260404,0.004929052,0.664649526,0.996878123,BARBUNYA
792.738,288.9321891,203.5215767,0.921091406,0.838176038,0.006272544,0.702539071,0.997369197,SIRA
760.258,286.5936294,183.3447328,0.889137032,0.796212411,0.007007865,0.633954204,0.990959671,SIRA
1037.359,341.6177344,250.189667,0.781590045,0.854531956,0.005104029,0.730224863,0.997074605,BARBUNYA
728.679,241.6146519,215.182691,0.964464583,0.942771089,0.005928903,0.888817327,0.997995183,SEKER
760.277,289.6124266,180.965432,0.892223199,0.789298982,0.007056833,0.622992884,0.9970218,SIRA
754.79,265.286554,208.1735397,0.95573228,0.885378872,0.00612261,0.783895746,0.998959817,SEKER
853.234,350.9656259,174.0789619,0.824555148,0.702689641,0.007347142,0.493772731,0.995509474,HOROZ
676.892,246.6615423,177.9715268,0.944707342,0.849017635,0.007161026,0.720830945,0.999043363,DERMASON
631.176,226.4472203,167.565085,0.936902945,0.858778004,0.007623972,0.73749966,0.996656004,DERMASON
668.164,256.5755796,153.9429864,0.869990725,0.773170352,0.008301268,0.597792394,0.996335939,DERMASON
976.082,401.9377152,193.0369915,0.790845481,0.6874221,0.006703543,0.472549144,0.98393226,HOROZ
951.625,389.022583,196.4443315,0.828146161,0.708589403,0.006518475,0.502098943,0.994316436,HOROZ
909.858,377.6142924,174.9837576,0.781556205,0.678040178,0.007334168,0.459738483,0.992113922,HOROZ
869.301,359.0541561,174.4456672,0.810586899,0.693841286,0.007365969,0.481415731,0.990877685,HOROZ
982.932,417.4746289,187.2771103,0.794389513,0.667975087,0.00683533,0.446190717,0.994639994,HOROZ
1627.014,608.6434692,385.1108888,0.869443412,0.793412633,0.003323142,0.629503607,0.994890745,BOMBAY
846.716,353.8563544,161.5875876,0.781647171,0.673389399,0.007935066,0.453453283,0.993005267,HOROZ
1162.062,460.8147614,244.0358622,0.811572851,0.7231307,0.005283846,0.52291801,0.987430027,CALI
795.882,295.5580608,191.0130729,0.876849265,0.8026357,0.006686985,0.644224067,0.996819815,SIRA
799.527,307.1641886,186.6307029,0.881768248,0.778018473,0.006847936,0.605312744,0.996247643,SIRA
990.706,348.3721294,227.4652059,0.794224102,0.806720417,0.005615916,0.650797831,0.996723105,BARBUNYA
662.129,226.5248185,192.2363364,0.978876878,0.920536431,0.006633036,0.847387321,0.998532653,SEKER
740.413,241.9091235,219.223754,0.952819145,0.950992632,0.00581974,0.904386986,0.997973345,SEKER
806.225,304.9538862,195.295901,0.900546515,0.798592617,0.006546744,0.637750168,0.995844722,SIRA
1078.159,420.1419992,242.0722468,0.857475005,0.756393132,0.005296865,0.57213057,0.992993144,CALI
782.625,269.7175291,206.8390513,0.89765668,0.875084125,0.006164549,0.765772225,0.998564783,SEKER
879.491,337.8024171,201.9261228,0.864792052,0.770680941,0.006345972,0.593949113,0.993618078,SIRA
1022.788,396.5943804,202.2522362,0.752255809,0.711986846,0.006333148,0.506925269,0.994024673,HOROZ
1044.596,435.2872634,196.8079638,0.771465736,0.670935616,0.006497892,0.450154601,0.995623149,HOROZ
737.07,256.077799,199.9792023,0.929121698,0.883127147,0.006375169,0.779913558,0.99869659,SEKER
675.258,243.6372084,171.8054585,0.896811735,0.835462367,0.007487084,0.697997367,0.989829609,DERMASON
679.09,237.9018822,190.0844881,0.966832064,0.893418841,0.00670505,0.798197226,0.99899063,SEKER
960.54,371.7750098,222.1086683,0.875946784,0.769704897,0.005780713,0.592445629,0.991660889,CALI
613.754,225.2435172,150.5530474,0.886365303,0.816579619,0.008477362,0.666802275,0.997607768,DERMASON
1518.137,572.2055991,363.5925914,0.888011038,0.795826087,0.003513352,0.633339161,0.996720568,BOMBAY
684.781,253.5804923,170.9913232,0.910818975,0.820355366,0.007460883,0.672982927,0.998035098,DERMASON
620.793,228.7840665,157.2775671,0.918941896,0.827971122,0.008118092,0.685536178,0.997216307,DERMASON
888.581,332.9882035,200.1934012,0.830525907,0.774096125,0.00638104,0.599224811,0.996710142,BARBUNYA
865.331,320.3232941,210.4183111,0.87323785,0.80354489,0.006156038,0.64568439,0.982936085,SIRA
987.264,377.8736513,227.1094143,0.85978716,0.771138339,0.005666292,0.594654338,0.989409473,CALI
822.009,292.0031631,218.0170791,0.9276107,0.863022302,0.005854348,0.744807494,0.997564709,SEKER
718.184,247.7468033,198.8496914,0.941427261,0.895305347,0.006411501,0.801571665,0.998678028,SEKER
770.263,276.4757779,201.4840559,0.925599615,0.853185878,0.006326532,0.727926142,0.998857927,SEKER
768.191,287.8539186,188.0462679,0.89899816,0.805427767,0.006818436,0.648713887,0.993026007,SIRA
910.43,358.0308728,169.345799,0.71595992,0.68488959,0.007581384,0.469073751,0.991715681,HOROZ
657.065,233.0480921,168.5126085,0.893255981,0.848205093,0.007593864,0.71945188,0.994981263,DERMASON
662.146,220.4383774,196.882203,0.976218398,0.944691865,0.00647206,0.892442719,0.99921995,SEKER
735.508,271.4475381,181.487496,0.896300352,0.816541767,0.007035053,0.666740458,0.997231544,DERMASON
671.793,238.166285,178.9587248,0.922542895,0.862379856,0.007188407,0.743699015,0.989747953,DERMASON
856.122,344.9607446,177.8505249,0.821761855,0.716125432,0.007197178,0.512835634,0.994701378,HOROZ
845.771,325.1109276,196.8934945,0.881560759,0.777494768,0.006478636,0.604498114,0.998148482,SIRA
721.177,254.0607593,194.6134395,0.937326057,0.874781819,0.00654897,0.765243231,0.998997175,SEKER
691.978,240.5905134,196.4977874,0.973484312,0.903292479,0.006485968,0.815937302,0.999027913,SEKER
1086.756,418.75391,246.002039,0.852218929,0.762603663,0.005228215,0.581564347,0.989960673,CALI
1062.433,423.1975311,227.1826895,0.834174092,0.729855529,0.005647981,0.532689093,0.992297034,CALI
893.296,368.7324594,172.6008631,0.784286229,0.682922531,0.00740382,0.466383184,0.996348542,HOROZ
663.914,225.0778556,184.2147342,0.927264249,0.904130132,0.006920149,0.817451295,0.998781044,SEKER
983.302,420.3521618,177.8126939,0.759142359,0.64876196,0.007196579,0.420892081,0.994995869,HOROZ
615.426,228.0066779,156.5950636,0.928934715,0.828077524,0.008143677,0.685712386,0.998415911,DERMASON
757.206,279.0875951,186.9260425,0.88952472,0.814521686,0.00687645,0.663445577,0.990549139,SIRA
879.739,332.0462682,213.2773951,0.899960703,0.800050023,0.005990695,0.64008004,0.996524683,SIRA
581.851,213.8447872,148.503575,0.924167638,0.832604248,0.008588834,0.693229834,0.998249277,DERMASON
689.937,265.4699791,161.0284951,0.88337049,0.777527201,0.007933476,0.604548548,0.996652737,SIRA
636.593,237.3015274,156.4313802,0.901769376,0.810884864,0.00816002,0.657534263,0.99745898,DERMASON
729.743,268.5252537,184.3366137,0.914387936,0.827180282,0.006929863,0.684227219,0.996721616,SIRA
681.518,263.1933205,160.1062358,0.890531041,0.777816454,0.007996151,0.604998435,0.994536823,DERMASON
830.105,315.8798111,196.0722153,0.886353331,0.787525687,0.006499183,0.620196707,0.999160531,SIRA
1134.539,428.9230129,231.9317687,0.756532997,0.732325482,0.005535062,0.536300612,0.991807528,BARBUNYA
698.492,247.9682578,185.621902,0.929912984,0.8646426,0.006868166,0.747606826,0.998711682,SEKER
753.771,273.8009306,186.2738571,0.879713391,0.821911834,0.006883744,0.675539063,0.992963945,SIRA
827.02,328.3212445,175.833589,0.830124613,0.730531252,0.007266638,0.53367591,0.996494128,SIRA
783.733,297.353506,188.7109576,0.897657208,0.794877966,0.006776979,0.631830982,0.995581603,SIRA
948.593,371.0183606,197.9117962,0.797893016,0.72695407,0.006493828,0.52846222,0.990689743,HOROZ
723.825,254.5019092,198.2914786,0.948253489,0.88156611,0.006437382,0.777158806,0.997462934,SEKER
768.085,276.3812498,198.9676667,0.913858504,0.845649339,0.006442003,0.715122804,0.993360065,SIRA
657.309,238.3352028,171.0704497,0.929763702,0.846482153,0.007455664,0.716532036,0.998271814,DERMASON
718.286,272.9152915,174.9021975,0.910957833,0.799592656,0.007297005,0.639348415,0.9976316,DERMASON
769.399,282.2864284,192.9870768,0.90229105,0.824109785,0.006641252,0.679156938,0.993417743,SIRA
802.097,301.8021811,191.1676981,0.879154276,0.793208194,0.006705225,0.629179239,0.993304143,SIRA
909.106,364.0186631,189.9490931,0.805261606,0.713361222,0.006873334,0.508884232,0.975226335,HOROZ
1033.42,379.3587849,225.0951627,0.786288835,0.768896525,0.005677069,0.591201867,0.996368021,BARBUNYA
826.904,304.1505097,206.8839091,0.899514175,0.820768494,0.006214128,0.67366092,0.990383028,SIRA
1011.524,393.3314773,220.0732498,0.828607538,0.745147169,0.005829983,0.555244303,0.992374412,CALI
840.624,316.4206349,198.3692493,0.873752468,0.790462593,0.006439953,0.62483111,0.996673917,SIRA
1129.375,407.5307588,243.1571516,0.763999237,0.771035486,0.005255342,0.594495721,0.996373295,BARBUNYA
739.414,271.152412,189.7138297,0.927423432,0.835917383,0.00672001,0.698757872,0.99871413,DERMASON
722.078,250.7483056,194.0435644,0.918647623,0.878558554,0.006578558,0.771865132,0.997424855,SEKER
1018.064,372.3035743,240.1702667,0.849034278,0.802030002,0.005316572,0.643252123,0.997147016,BARBUNYA
1070.292,380.7410438,253.5632975,0.827607191,0.814019555,0.005046738,0.662627836,0.994976862,BARBUNYA
1538.645,571.3442984,370.2837764,0.877931501,0.803194962,0.003454381,0.645122146,0.995417255,BOMBAY
758.673,286.042907,179.1858678,0.876787422,0.790534319,0.007122582,0.624944509,0.997628587,SIRA
976.479,391.6625718,195.9880485,0.791546818,0.706056194,0.00652108,0.498515349,0.996233216,HOROZ
725.947,267.0618,184.7522549,0.922068053,0.830854082,0.006906354,0.690318506,0.997864426,DERMASON
638.042,241.4535623,146.9270692,0.851869761,0.776340743,0.008749268,0.602704949,0.99045913,DERMASON
600.994,215.5748405,161.6778719,0.946947281,0.863545232,0.007920304,0.745710368,0.99430053,DERMASON
1015.361,411.7117855,201.433152,0.781011669,0.693754907,0.006425467,0.48129587,0.983726761,HOROZ
922.249,383.0831119,174.7655391,0.772293883,0.673436438,0.007328648,0.453516636,0.994100811,HOROZ
988.425,384.5531182,228.0544213,0.883081768,0.768843542,0.005601158,0.591120392,0.996767301,CALI
1054.205,397.2609845,248.0322879,0.871093394,0.788372822,0.005156689,0.621531707,0.995476436,CALI
883.82,302.1162231,178.1516905,0.677836908,0.766659483,0.007170196,0.587766762,0.996756606,SIRA
899.867,366.8201927,178.4143389,0.78871855,0.693483681,0.00721746,0.480919616,0.988771571,HOROZ
997.796,346.2438026,237.3979323,0.811767889,0.826467559,0.005383646,0.683048627,0.99622331,BARBUNYA
985.501,342.4453022,226.7417755,0.785854079,0.812057795,0.005638259,0.659437863,0.995940857,BARBUNYA
671.582,232.4361441,186.7914403,0.948783552,0.895837186,0.006825717,0.802524265,0.998630587,SEKER
686.517,249.46266,180.2449068,0.940693533,0.849610661,0.007070737,0.721838276,0.999039028,DERMASON
688.874,257.4648986,165.036857,0.88228562,0.799975144,0.007727502,0.639960231,0.998366662,SIRA
711.099,249.1619299,200.2064042,0.972706113,0.895961466,0.006365753,0.802746949,0.999038866,SEKER
816.055,300.8069239,198.6055353,0.877604149,0.808967478,0.006467853,0.654428381,0.991193865,SIRA
910.397,378.8176307,174.850002,0.780115541,0.675663139,0.007362401,0.456520678,0.989065368,HOROZ
610.943,215.446569,165.7403773,0.94356016,0.876790904,0.007687382,0.76876229,0.999317127,DERMASON
664.992,237.1469249,179.4741259,0.948386327,0.869243982,0.007105739,0.755585101,0.998387273,DERMASON
814.313,313.4086044,193.5454778,0.899972621,0.784594444,0.006599465,0.615588442,0.996823675,SIRA
813.758,256.8397138,221.4744633,0.845997594,0.927615048,0.005761192,0.860469676,0.997870283,SEKER
1040.987,390.9669663,236.0461934,0.834585346,0.774266994,0.00543236,0.599489378,0.992943543,CALI
813.969,299.1175177,194.354903,0.856464957,0.801624429,0.006624092,0.642601725,0.988981651,SIRA
969.404,395.6012989,199.799678,0.825113262,0.708523093,0.006411275,0.502004973,0.993964662,HOROZ
680.157,244.0174548,178.7571063,0.927075456,0.85427156,0.007149857,0.729779898,0.996206735,DERMASON
883.529,323.1037414,209.2399353,0.850595021,0.802768582,0.006114872,0.644437396,0.995126163,BARBUNYA
1021.462,393.3877979,223.1710944,0.824473979,0.750481402,0.005746579,0.563222334,0.99280238,CALI
606.793,216.9853438,158.1495565,0.916681737,0.85225504,0.008078683,0.726338653,0.996555703,DERMASON
736.602,260.1405927,202.4149228,0.955501108,0.881029587,0.006305521,0.776213133,0.99757736,SEKER
721.252,242.0461419,208.4598355,0.956094061,0.927447433,0.006115519,0.860158741,0.998744454,SEKER
692.507,253.1412461,177.9248772,0.924202179,0.837133797,0.00717724,0.700792994,0.997047824,DERMASON
1066.901,416.0072452,243.9472819,0.874209476,0.763275127,0.005253479,0.582588919,0.993498306,CALI
980.172,372.0655423,229.5447672,0.873320485,0.783645767,0.005572513,0.614100688,0.995386252,CALI
848.686,331.7712245,195.2330265,0.882057878,0.764727999,0.00656232,0.584808913,0.993800959,SIRA
591.741,210.3156324,157.5757339,0.931574881,0.86440868,0.008102151,0.747202366,0.99728768,DERMASON
873.211,357.1308499,162.8601044,0.74492046,0.671733348,0.007901125,0.451225691,0.989478763,HOROZ
961.532,382.2654478,201.8737626,0.807512478,0.719487819,0.006434254,0.517662722,0.980239183,HOROZ
977.298,398.8609764,196.5820304,0.804917036,0.699731055,0.00651968,0.489623549,0.99343631,HOROZ
629.269,239.2903654,151.5077212,0.899113301,0.793722082,0.00844594,0.629994744,0.995009834,DERMASON
947.305,361.6383842,220.6904303,0.874281653,0.779634626,0.005792331,0.60783015,0.996031921,BARBUNYA
721.516,276.4940779,173.7695975,0.909337457,0.792086844,0.007339706,0.627401568,0.99829211,DERMASON
620.189,230.3036902,154.9381159,0.914231158,0.819598771,0.008230129,0.671742146,0.998493458,DERMASON
705.779,235.1825325,208.4739731,0.969867184,0.940740691,0.006117376,0.884993047,0.998373576,SEKER
965.459,384.1332599,197.1741672,0.800767989,0.715905012,0.006467217,0.512519986,0.99848766,CALI
671.659,247.3729375,171.9769022,0.926810818,0.832036401,0.007434868,0.692284573,0.995787609,DERMASON
1055.572,389.0487083,229.1127995,0.78747879,0.766396379,0.005571848,0.587363409,0.997381971,BARBUNYA
870.581,355.0814366,174.0811234,0.789784392,0.693562522,0.007454369,0.481028972,0.981177368,HOROZ
720.442,235.3134449,211.1422148,0.943984912,0.946858179,0.006035226,0.896540412,0.999174954,SEKER
677.413,234.4297046,192.6140462,0.97044743,0.906101858,0.006615207,0.821020577,0.999260517,SEKER
795.294,287.4158579,204.4561343,0.908107305,0.839335692,0.006288224,0.704484404,0.990334626,SIRA
968.674,399.078284,187.5970456,0.782484239,0.683451142,0.006830257,0.467105463,0.993681144,HOROZ
616.386,234.9459604,149.6236118,0.907256607,0.795426363,0.008565292,0.632703099,0.993499859,DERMASON
