Area,Perimeter,MajorAxisLength,AspectRation,ConvexArea,EquivDiameter,Compactness,ShapeFactor2,labels
38083,723.95,270.1789993,1.502005376,38481,220.2016839,0.815021465,0.001930974,3
32708,680.721,259.8021476,1.613253729,33247,204.0713577,0.78548757,0.001865202,3
37733,731.473,270.6278272,1.522068522,38174,219.1874717,0.80992215,0.001903724,3
79498,1079.978,431.5379799,1.821964313,80325,318.1509034,0.737248905,0.000989234,2
55019,931.185,390.6108348,2.160690112,55802,264.674076,0.677590206,0.000923166,4
39428,744.798,275.5565663,1.505745764,39885,224.056441,0.81310507,0.001884397,6
48046,836.659,333.3711135,1.81462234,48444,247.3339183,0.741917666,0.001296801,6
45422,779.468,265.7687924,1.219525626,45912,240.4851068,0.90486586,0.00241966,5
37362,714.562,263.8858174,1.462676393,37693,218.1072577,0.826521334,0.002033209,5
30215,654.735,253.9590011,1.672528325,30510,196.1400847,0.772329722,0.001844726,3
35432,681.365,233.7422319,1.209728147,35757,212.399208,0.908689911,0.002774496,5
51105,905.379,364.6076763,2.031362883,51797,255.0860775,0.699617957,0.001054353,4
24424,592.212,230.7850454,1.707942621,24700,176.3451237,0.764109838,0.001986981,3
40487,793.494,320.5711183,1.975355734,41041,227.0454788,0.70825307,0.001228973,4
57126,961.521,402.9992192,2.198263203,58284,269.6944238,0.669218229,0.000872813,4
71342,1075.003,391.5659601,1.683977053,72680,301.3892095,0.769702273,0.001188312,0
87279,1114.925,426.5637511,1.627753424,88382,333.3572771,0.781494621,0.001124496,2
59183,934.857,353.5773491,1.647063888,59939,274.5070782,0.776370655,0.001338886,2
70938,1026.906,403.3067677,1.78253963,72261,300.534635,0.745176275,0.001081365,2
43565,787.569,294.3791642,1.558922556,44055,235.517899,0.800049486,0.001707719,6
60408,999.737,369.4875345,1.768420867,61404,277.3334715,0.750589521,0.001197554,0
65957,995.361,371.0944283,1.616862563,67572,289.7914089,0.780910159,0.001290647,2
52426,861.757,325.2973518,1.579051189,52940,258.361871,0.794232936,0.001523018,6
64429,952.229,358.2573631,1.558020217,65054,286.4149972,0.799467162,0.001401187,2
27014,621.167,229.0215711,1.519189883,27398,185.4596804,0.80979132,0.002248846,3
37240,695.977,244.7527839,1.261063051,37527,217.7508683,0.889676779,0.002539959,5
60075,937.1,350.7512342,1.604443921,60993,276.5680127,0.788501895,0.001392182,0
63366,1006.058,413.047019,2.084654828,64350,284.0424211,0.687675756,0.000899203,4
40505,754.798,274.8720316,1.450519152,40997,227.095944,0.82618789,0.00195037,6
44564,761.869,267.5093662,1.25876434,44905,238.2029535,0.890447153,0.002327915,5
24898,581.851,213.8447872,1.43999757,25159,178.0480783,0.832604248,0.002546059,3
43796,799.068,299.6133411,1.597816319,44443,236.1414811,0.788154093,0.001628362,6
46129,807.467,302.1367324,1.546120473,46628,242.3494728,0.802118534,0.00167249,6
33323,666.635,238.2342886,1.334789991,33687,205.9809733,0.864615142,0.002464514,3
49748,845.485,329.2944088,1.702020928,50387,251.6766196,0.764290595,0.001393229,6
32940,674.619,253.6697594,1.531596985,33307,204.7938246,0.807324551,0.002017983,3
49134,840.624,316.4206349,1.595109302,49645,250.1186754,0.790462593,0.001550914,6
40459,733.681,247.9781156,1.192144709,40874,226.9669552,0.915270102,0.002653231,5
95061,1209.008,472.1544764,1.803856037,97650,347.9014578,0.736838207,0.00090313,2
37873,728.892,270.906835,1.514391764,38252,219.5937187,0.810587591,0.00190489,3
72060,1013.657,399.9968058,1.735204142,72541,302.902033,0.75726113,0.001125964,2
41735,735.759,257.9670166,1.250939015,42050,230.5182257,0.893595735,0.002431128,5
51828,932.413,379.141053,2.171040908,52624,256.8841356,0.677542391,0.000950959,4
35626,699.261,263.1929693,1.525567355,35986,212.9798864,0.809215713,0.001954088,3
85702,1107.351,427.956415,1.664829875,86542,330.3319171,0.771882149,0.001093433,2
65686,1015.675,352.4510301,1.481895087,66838,289.1954577,0.820526635,0.001500294,0
48148,880.077,356.7759132,2.060385037,48911,247.5963198,0.693982723,0.001060209,4
53933,848.827,287.3916081,1.201499219,54470,262.0489045,0.91181822,0.002272126,5
67997,1047.09,347.9688677,1.390929894,69185,294.2387964,0.84558943,0.00161387,0
26210,607.859,223.429994,1.49082324,26556,182.6789765,0.817611697,0.002349863,3
45504,793.417,295.4698306,1.505104618,45972,240.7020819,0.814641825,0.001764047,2
73499,1071.953,377.9944357,1.524475737,74611,305.9114795,0.809301541,0.001360897,0
36566,694.803,245.2090877,1.289875422,36883,215.771354,0.879948439,0.002480092,5
40201,740.834,270.1332037,1.422400887,40625,226.2421334,0.837520639,0.002039403,3
61776,980.591,392.5841177,1.951946114,62402,280.4561394,0.714384833,0.00102099,4
34685,683.079,240.2491099,1.305190677,35104,210.1483134,0.87471006,0.002501246,3
42440,775.99,296.2352492,1.618582241,42863,232.4570633,0.784704264,0.001632545,6
35294,701.997,268.1594279,1.592043199,35680,211.9851799,0.790519213,0.001830297,3
51650,906.338,368.4880379,2.050776628,52390,256.44263,0.695932035,0.001032286,4
47245,826.032,316.7318396,1.661915213,47809,245.2635364,0.774357061,0.001486896,6
42595,777.527,285.0488735,1.493519959,43136,232.881168,0.816986803,0.00183908,6
48673,807.338,278.9753671,1.253215807,49337,248.9425403,0.892345955,0.002241767,5
69441,1019.858,400.6709536,1.800519913,70363,297.3466449,0.742121789,0.001079574,2
44386,792.067,296.1109554,1.54716018,44925,237.7267558,0.802829992,0.001709553,6
34591,682.876,244.4706608,1.353145084,34925,209.8633581,0.858439853,0.002367461,3
39448,741.596,279.6156471,1.551293523,39909,224.1132606,0.801504719,0.001804432,3
35077,707.652,261.0852171,1.509228354,35566,211.3324952,0.809438763,0.00197095,6
43913,885.207,284.1321741,1.438853855,44823,236.456694,0.832206682,0.001914396,6
46216,803.234,299.2951436,1.504966396,46840,242.5779025,0.810497289,0.001723826,6
53444,944.057,393.2035226,2.248306693,54336,260.8582263,0.663417826,0.000879117,4
71896,1080.446,360.632979,1.415841612,73431,302.5571521,0.838961409,0.001532881,0
42188,765.844,285.1425745,1.507502121,42731,231.7658946,0.812807049,0.001819712,6
53367,912.246,376.3529861,2.077174584,54010,260.6702415,0.692621691,0.001001121,4
26325,608.1,229.0356868,1.555379303,26682,183.0793025,0.799348368,0.002191083,3
69773,1095.057,387.1163104,1.674716847,71055,298.05661,0.769940718,0.001202716,0
56545,975.553,339.5660561,1.597287759,57685,268.3194552,0.790183384,0.00144418,0
63211,999.886,341.4370908,1.445948929,64474,283.6948094,0.830884567,0.001588037,0
30197,651.906,242.9028407,1.52919896,30602,196.0816527,0.807243144,0.002107007,3
27695,607.966,217.7645721,1.341481301,27970,187.7827713,0.862320117,0.002681882,3
39081,732.027,265.6428981,1.41553049,39516,223.0683183,0.839730028,0.002084832,3
49916,833.692,316.1569277,1.568104895,50430,252.10122,0.79739268,0.001579544,6
54282,879.376,327.5206119,1.547832278,54920,262.8953955,0.802683513,0.001545041,6
61484,971.295,386.0691043,1.898470647,62193,279.7925306,0.724721371,0.001068481,0
41280,761.074,285.8747614,1.546203911,41706,229.2582134,0.801953318,0.001766901,6
38426,711.412,246.6966084,1.242455087,38799,221.1911001,0.89661184,0.002559385,5
67303,1044.34,424.6677228,2.093526723,68155,292.7333959,0.689323394,0.000878793,4
35197,700.976,263.1297559,1.539777715,35571,211.6936755,0.804521993,0.001931949,3
39127,768.735,268.8967365,1.440109273,39977,223.1995602,0.830056783,0.002012426,3
35539,690.791,247.0624813,1.342422904,35853,212.7196751,0.860995462,0.002356594,5
55035,917.6,379.3468218,2.046203366,55591,264.712558,0.697811456,0.00100816,4
47720,799.753,293.7524103,1.418942573,48085,246.4933895,0.839119547,0.001882592,5
73550,1024.467,397.5079681,1.674768041,74442,306.0175951,0.769840153,0.001170968,2
47104,834.12,315.2805872,1.652850187,47800,244.8972754,0.776759767,0.001503025,6
41962,755.945,286.8703906,1.537445873,42349,231.1442791,0.805744638,0.001777457,3
67448,1006.165,380.9752924,1.679574097,68544,293.0485639,0.769206218,0.001219772,0
30095,637.131,236.8262803,1.459604603,30408,195.7502084,0.826556107,0.002265712,3
34014,681.258,252.9275604,1.475548231,34368,208.10567,0.822787638,0.002102177,3
53413,895.966,341.5233905,1.706418159,54213,260.7825604,0.763586236,0.001340867,6
79639,1109.573,386.1251508,1.464991607,81007,318.4329193,0.824688365,0.00138338,0
47551,821.031,314.5426793,1.629973682,47966,246.0565252,0.782267531,0.001527991,6
28597,629.701,239.2423681,1.563814198,28960,190.8162238,0.797585416,0.002088364,3
27199,606.833,224.8225694,1.453402304,27511,186.0936387,0.827735575,0.002393499,3
24212,565.792,206.2606833,1.377089524,24489,175.578119,0.851243757,0.002759188,3
26243,602.486,226.9610327,1.53434515,26530,182.7939424,0.805397914,0.002244707,3
39215,721.759,257.1489238,1.321853784,39711,223.4504168,0.868953342,0.002306206,5
82842,1121.336,430.4318957,1.743941749,84293,324.7733215,0.754528939,0.001038813,2
55459,924.069,381.6891769,2.056934942,56044,265.7302992,0.696195531,0.000997338,4
39520,731.357,272.9724152,1.476226595,39910,224.3176917,0.82175956,0.001942946,3
35512,740.643,294.1826768,1.902916411,35978,212.6388551,0.722812293,0.001394838,4
79761,1088.061,414.3102851,1.679859812,80464,318.6767317,0.769174078,0.001121537,2
69034,990.33,386.0383345,1.684934113,69937,296.4739765,0.767991026,0.001199974,2
68656,988.425,384.5531182,1.686233996,69175,295.6611814,0.768843542,0.001207284,2
37068,704.024,245.3649806,1.274443865,37452,217.2474245,0.885405179,0.002509351,5
72092,1062.088,346.6950133,1.307732764,73330,302.969281,0.873878393,0.001729993,0
88455,1228.134,441.9800302,1.716539314,90344,335.5955958,0.75930036,0.001024506,0
41138,751.833,273.1844114,1.422315617,41557,228.8635585,0.837762145,0.002017788,6
36911,690.768,229.5186145,1.120069441,37249,216.786865,0.944528467,0.003052826,5
41898,797.562,315.9442125,1.859674254,42521,230.9679425,0.73104027,0.001328502,4
41349,864.737,261.9835448,1.299058276,42172,229.4497373,0.875817363,0.002299551,5
36022,683.433,240.3551824,1.257914703,36323,214.1603018,0.891015953,0.002594223,5
46519,863.421,356.7518402,2.12965033,47189,243.3717945,0.682187916,0.001024547,4
57366,956.177,390.7171442,2.073609082,58224,270.2603554,0.691703345,0.000961761,4
51870,932.88,378.4835542,2.165409924,52550,256.9882005,0.678994365,0.000956699,4
50501,909.986,359.9219079,2.003655577,51274,253.5741908,0.70452558,0.001083116,4
30975,652.472,243.9041369,1.499074175,31450,198.5915278,0.814219596,0.002134783,3
65974,1020.876,374.4587697,1.660480276,66946,289.8287524,0.773993764,0.001256495,0
87927,1120.716,434.4041444,1.676297371,88711,334.5924886,0.770233187,0.001072606,2
59508,928.142,343.7419182,1.547720091,60177,275.2597661,0.80077451,0.001465136,0
92819,1169.482,453.5816889,1.730183868,94031,343.7743756,0.757910612,0.00099465,2
50048,843.532,316.6585009,1.558518877,50849,252.4343335,0.79718161,0.001576207,6
75647,1073.393,380.7445838,1.497983113,76811,310.3494028,0.8151118,0.001370536,0
40646,741.995,253.3851611,1.237051111,41085,227.4908669,0.897806588,0.002498471,5
29817,654.94,249.9393798,1.628134171,30306,194.8439979,0.779565021,0.001909677,3
61505,982.866,395.7615143,1.946012471,63731,279.8403084,0.707093283,0.000992224,4
45439,810.822,314.5881849,1.698851377,46053,240.5301055,0.764587219,0.001459491,6
42050,776.18,265.7364381,1.316795696,42638,231.3865226,0.870736901,0.002240849,5
56644,961.412,343.1227678,1.630021401,57622,268.5542418,0.782676835,0.001402185,0
44466,760.049,269.4836158,1.281618669,44807,237.9408952,0.882951249,0.002272118,5
62701,951.734,354.8882989,1.570061688,63308,282.5480361,0.796160473,0.001402812,0
37927,697.748,233.2598714,1.125974018,38208,219.7502132,0.942083231,0.002988329,5
23343,563.168,206.9409613,1.437950754,23653,172.3984649,0.833080429,0.002634009,3
72492,1053.122,411.5200264,1.812827476,74242,303.8086257,0.738259638,0.001040201,2
43528,777.324,287.1108126,1.480819352,43983,235.4178645,0.819954715,0.001839162,6
68562,984.765,384.871051,1.676918633,69637,295.4587106,0.767682344,0.001202646,2
30188,673.779,232.466122,1.399992793,30767,196.0524302,0.843359146,0.002403009,3
73257,1055.446,415.2978813,1.828641994,74835,305.4074481,0.735393706,0.001022751,2
79236,1091.724,421.8782726,1.758842818,80255,317.6262089,0.752885914,0.001055264,2
49439,831.769,306.5407719,1.4877733,49997,250.893782,0.818467901,0.001716346,6
37117,699.991,249.5144267,1.314770186,37429,217.3909662,0.8712561,0.002389384,5
32026,654.237,230.9790674,1.305469433,32349,201.9325869,0.874246265,0.002598872,5
56928,935.66,324.0394421,1.445631955,57936,269.2266346,0.83084526,0.00167314,0
24256,573.98,212.1768045,1.454045721,24494,175.7375839,0.828260112,0.002539367,3
40005,739.199,269.1613974,1.419972681,40461,225.6899377,0.838492963,0.002051521,6
59553,970.618,360.8464531,1.70863792,60682,275.3638223,0.763105249,0.001267466,0
65693,988.933,384.5957961,1.731051976,67513,289.2108667,0.751986552,0.001154797,2
34807,696.887,269.4120614,1.635048447,35138,210.5175737,0.781396247,0.001779982,3
35835,687.914,237.7041795,1.236903883,36190,213.6036963,0.898611445,0.002668068,5
24056,568.914,200.9852743,1.317004618,24406,175.0115724,0.870768135,0.002962993,3
63905,1030.26,356.7067045,1.558245139,65322,285.2479152,0.799670742,0.001407995,0
46973,781.213,275.0607617,1.263299968,47306,244.5564989,0.889099911,0.00225716,5
77424,1109.772,397.401991,1.597842315,78571,313.9734041,0.790065,0.001233632,0
32774,679.529,250.4249786,1.499053228,33182,204.2771471,0.815721931,0.002086875,3
41798,744.664,259.0496348,1.257419804,42168,230.6921466,0.890532607,0.002404399,5
50833,898.973,362.3539235,2.016161939,51604,254.4063399,0.702093515,0.001068432,4
40485,803.073,334.3901428,2.143498888,41117,227.0398709,0.678966996,0.001082764,4
67284,1042.588,416.6992868,2.021604236,68146,292.6920729,0.702405985,0.000929916,4
41210,755.903,281.694069,1.506482135,41735,229.0637502,0.813164974,0.001843612,6
82691,1103.441,436.4676805,1.792522681,83931,324.4771967,0.74341632,0.000994494,2
29562,711.422,244.2470155,1.562416066,30831,194.0090395,0.794314883,0.002028832,3
31280,653.711,243.3616397,1.484741732,31609,199.5668634,0.820042401,0.002170253,3
28122,628.351,236.6192561,1.556258331,28519,189.2248464,0.799701806,0.002122736,3
36521,730.156,278.2900716,1.652789964,36941,215.6385434,0.774869697,0.001694531,3
48095,874.205,366.3137556,2.175182394,48787,247.4600087,0.675541131,0.000978454,4
49597,832.939,306.3011502,1.477579402,50237,251.2943726,0.820416027,0.001725876,6
67916,989.997,362.8244276,1.511588728,68706,294.0634913,0.81048427,0.001421944,2
43684,776.51,286.7975332,1.474424438,44082,235.8393442,0.822319988,0.001851809,6
32260,665.909,251.5755879,1.538614549,32582,202.6689609,0.805598677,0.002026091,3
78565,1106.256,429.9334919,1.818037958,80656,316.2784609,0.735645087,0.000988611,2
66957,1057.414,418.4892634,2.049798851,67869,291.9799654,0.697700015,0.000913573,4
37506,700.778,247.5799407,1.281348662,37812,218.5271662,0.882652955,0.002471465,5
57862,951.333,372.4370305,1.84381594,59220,271.4262083,0.72878416,0.001120043,2
28591,618.247,214.6012528,1.258519136,28989,190.796205,0.889073118,0.002892894,3
71897,1092.347,390.0164579,1.658808436,73373,302.5592563,0.775760228,0.001211887,0
28954,637.481,234.5514844,1.489418778,29349,192.0035879,0.818598904,0.002243851,3
39241,753.171,287.3168887,1.649017634,39756,223.5244796,0.777971948,0.001654461,6
40166,742.872,282.6189876,1.558485281,40466,226.1436259,0.800171382,0.001779322,3
71540,1024.667,404.2473611,1.77113917,73026,301.8071521,0.746590284,0.001082947,2
34774,701.742,276.9743066,1.730071926,35112,210.4177557,0.759701354,0.001636576,3
74463,1056.402,410.4178411,1.763227828,75258,307.9110849,0.75023806,0.001077114,2
28123,621.919,234.3158424,1.529427855,28501,189.2282107,0.807577536,0.002186033,3
24761,576.546,210.827701,1.403077301,25024,177.5575523,0.842192707,0.002642318,3
28843,628.281,226.8472462,1.395061231,29170,191.6351956,0.844776381,0.002470813,3
62321,965.024,382.5364271,1.838396883,62943,281.6905424,0.736375734,0.00111331,4
72581,1058.631,406.6801865,1.759857007,74418,303.9950648,0.747503997,0.001079105,2
44722,776.694,264.2160633,1.222808481,45158,238.6248498,0.903142855,0.002424619,5
35277,676.858,238.5525485,1.263692661,35527,211.9341205,0.88841692,0.0025986,5
93438,1196.46,465.4752175,1.795796472,95390,344.9187681,0.741003506,0.000926475,2
38814,755.282,275.3088214,1.530961538,39413,222.305015,0.807475089,0.001860065,3
78863,1118.732,399.7921103,1.586332825,80572,316.8777212,0.79260624,0.001234158,0
35915,685.086,238.6370697,1.243954629,36222,213.8419937,0.896097132,0.002642787,5
37916,732.54,259.5328974,1.390211562,38307,219.7183437,0.846591495,0.002168929,5
45753,906.221,275.3211301,1.297876992,46399,241.3597499,0.876648116,0.002192305,5
75291,1077.8,420.5838861,1.82240779,76797,309.6182788,0.736162961,0.001012011,2
44977,812.835,313.3930895,1.709466977,45529,239.3041893,0.763591149,0.001461242,6
87415,1134.346,442.0689702,1.745014089,88262,333.6168983,0.754671603,0.001011849,2
26989,603.446,209.2363658,1.268340078,27389,185.3738441,0.885954234,0.002946289,3
75317,1056.208,403.0190688,1.664670858,76943,309.6717339,0.768379856,0.001150578,2
63652,956.09,362.3406291,1.608745877,64607,284.6827067,0.785677023,0.001338015,2
44165,797.327,298.7403389,1.553413756,45049,237.1341909,0.793780284,0.00165652,6
33705,670.292,239.8365502,1.337753747,34020,207.1582459,0.863747605,0.002443139,3
71775,1027.656,353.4174388,1.36050429,72769,302.3024451,0.855369351,0.001625958,0
54543,974.042,335.9046656,1.618869624,55730,263.5266675,0.784528155,0.0014391,0
30129,635.077,231.3592631,1.393915525,30433,195.8607522,0.846565422,0.002432899,3
26824,607.935,223.4153303,1.456943797,27158,184.8063244,0.827187303,0.002405385,3
27301,622.829,230.9704648,1.531044633,27733,186.4422506,0.807212519,0.002215691,3
33092,665.894,242.4997355,1.392130496,33403,205.2657863,0.846457774,0.002320541,3
30908,668.164,256.5755796,1.666692232,31300,198.3766313,0.773170352,0.00182989,3
60361,982.77,396.3877905,2.034218021,61211,277.2255619,0.699379669,0.00096916,4
49315,827.606,311.6512701,1.543056329,49863,250.5789459,0.804036338,0.001629192,6
32601,666.726,240.7172415,1.3888643,32973,203.7372877,0.846375966,0.002337272,3
65653,1142.436,351.9454687,1.479477933,67253,289.1228041,0.821498868,0.001506012,0
28185,618.982,223.9657923,1.394573555,28524,189.4366822,0.845828643,0.00250884,3
69220,1044.55,414.6471832,1.93284991,70258,296.8731064,0.715965569,0.000970947,4
44838,807.043,300.7365093,1.576406218,45454,238.9341221,0.79449656,0.001648496,6
86618,1119.543,434.5556246,1.704332162,87412,332.0925517,0.764211836,0.001055534,2
35349,696.043,259.0742864,1.487257089,35723,212.1502879,0.81887821,0.002032845,3
26306,653.403,227.9846758,1.54614222,26812,183.0132221,0.802743524,0.002219923,3
87909,1150.644,458.2581399,1.870221862,88517,334.5582388,0.730065022,0.000913488,2
36450,710.003,263.5197066,1.491564986,36848,215.4288314,0.817505583,0.001991857,3
69843,1006.281,386.3156069,1.664918159,70899,298.2060857,0.771923475,0.001211424,2
41967,793.339,314.8587054,1.844475067,42402,231.1580498,0.734164391,0.0013445,6
33954,716.75,277.3684803,1.773951126,34420,207.9220419,0.7496239,0.001591181,4
37293,718.527,262.3998204,1.443171876,37778,217.9057648,0.830434123,0.002064128,3
50453,853.419,326.795856,1.653374228,50995,253.453654,0.775571812,0.001445631,6
39123,721.955,263.8370123,1.392822694,39458,223.1881509,0.845931922,0.002130223,3
46434,810.154,309.3828063,1.60092178,47022,243.1493472,0.785917453,0.001568005,6
48212,818.737,301.8526946,1.475954602,48763,247.760822,0.820800432,0.001752952,6
29850,632.695,225.9155814,1.340000599,30231,194.95179,0.862940877,0.002588843,3
74734,1062.473,381.3988414,1.519627236,75706,308.4708805,0.808788195,0.001347039,0
33802,678.676,256.1088561,1.521245004,34132,207.4561233,0.810031041,0.002012188,3
33657,687.144,260.1653166,1.571211043,34070,207.0106842,0.795689014,0.001911293,3
41945,779.596,305.9030809,1.74435184,42389,231.0974528,0.75545971,0.001465307,6
76794,1045.608,395.7538512,1.590971319,78051,312.6933923,0.790120908,0.001238944,2
47500,827.373,308.7520765,1.572281815,48005,245.924538,0.796511365,0.001613853,6
31612,665.691,239.9569618,1.426308254,32011,200.6231504,0.836079724,0.002287978,3
35441,703.568,274.5416921,1.667205116,35732,212.4261818,0.773748352,0.001712699,3
31479,670.537,255.180817,1.616935989,31964,200.2006684,0.784544351,0.001894423,3
84166,1108.716,443.6134549,1.829702885,84748,327.358335,0.737935992,0.000964101,2
34033,679.264,255.5729179,1.504313561,34312,208.1637851,0.814498605,0.002038711,3
34644,690.13,238.1640436,1.282845808,35094,210.0240719,0.881846263,0.002564481,3
89592,1155.357,452.2914051,1.773938517,90627,337.7455807,0.74674331,0.00096831,2
25953,596.042,224.5859701,1.521739823,26279,181.7811484,0.809405629,0.002291077,3
33104,687.923,259.5703828,1.595602792,33589,205.3030002,0.790933842,0.001892845,3
